ID,Autonomy_level,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Weather,Mileage,Usage_year,Speed,Acceleration,Disengagement,Crush,Collision Type,Incident Severity,Insurance Cost,Cornering,Distance_to_next_car
4864e549-0626-464b-9768-be88fa0828c7,ADS,Urban,Dry,40,Daylight,Clear,18497,1,33,normal,0,0,,,,Smooth,20
d44c0628-4e91-4386-9d7d-1818adb03411,ADS,Highway,Dry,55,Daylight,Cloudy,15416,2,50,normal,1,0,,,,Smooth,44
2800559f-f3e8-4cf4-a315-dc9971a4f703,ADS,Urban,Dry,35,Daylight,Clear,2793,0,7,normal,0,0,,,,Smooth,35
58353652-6470-4b3d-96a7-d6091be76b3e,ADS,Urban,Dry,35,Dawn / Dusk,Clear,17910,2,29,normal,0,0,,,,Smooth,24
6b41ed21-986b-4c6c-9604-022102675abf,ADS,Urban,Dry,40,Daylight,Clear,22004,2,33,normal,0,0,,,,Smooth,36
437dfecb-abb8-4840-8bf7-8862f70eb766,ADS,Urban,Dry,35,Dawn / Dusk,Cloudy,3759,0,5,normal,0,0,,,,Smooth,21
7c86932d-43e7-49c8-8dc9-89cfdd72dae4,ADS,Urban,Dry,40,Dark - Not Lighted,Clear,10463,0,1,normal,0,0,,,,Smooth,36
a2920af0-44bd-4be5-be78-8d82b239c20b,ADS,Urban,Dry,45,Daylight,Clear,7600,1,22,normal,1,0,,,,Smooth,27
74a83ce1-5fe9-4d4f-ae42-50e5b285026c,ADS,Highway,Dry,70,Daylight,Clear,12168,0,62,normal,0,0,,,,Smooth,56
c95af4ed-4e7a-4561-a2ab-f92db3a1d70e,ADS,Urban,Dry,35,Dawn / Dusk,Cloudy,7597,0,11,normal,0,0,,,,Smooth,31
60556c09-a951-4c76-800c-84b64fb8f864,ADS,Highway,Wet,70,Daylight,Rain,14009,0,70,normal,1,0,,,,Smooth,56
b8cf6da7-5241-42cc-8633-e6252776a916,ADS,Highway,Dry,60,Daylight,Clear,11508,0,54,normal,0,0,,,,Smooth,30
7905117f-1215-4b19-ae03-3efe5cfad9dc,ADS,Urban,Dry,35,Daylight,Clear,10928,1,13,normal,0,0,,,,Smooth,28
d5ef96b5-7ef9-4000-bb71-8e3373254147,ADS,Urban,Dry,25,Dawn / Dusk,Cloudy,9233,0,17,hard_braking,0,0,,,,Smooth,15
e3166a0e-ea6a-4f2a-99db-eaf66643976d,ADS,Urban,Dry,30,Dawn / Dusk,Clear,27753,3,17,normal,0,0,,,,Smooth,15
af5729bb-6528-41f5-ade2-5fab37d83cc9,ADS,Highway,Dry,60,Daylight,Clear,11949,0,54,normal,0,0,,,,Smooth,24
8e041448-4746-44c2-93ea-457fe731a653,ADS,Parking lot,Dry,15,Daylight,Clear,18639,0,7,normal,0,0,,,,Smooth,12
883d114c-964f-4b74-a8d2-a17dc398bf38,ADS,Urban,Wet,30,Dark - Lighted,Rain,11232,0,14,normal,0,0,,,,Smooth,15
40067482-fdf0-45f8-9b52-23235a18b262,ADS,Highway,Dry,70,Dark - Lighted,Clear,18769,1,63,normal,0,0,,,,Smooth,49
0d22d7f4-a400-4214-9642-d4dc3b853565,ADS,Urban,Dry,30,Dawn / Dusk,Cloudy,9452,0,27,normal,0,0,,,,Smooth,21
dfb26737-5831-4469-87ab-81fc3c7d8fd7,ADS,Rural,Dry,45,Daylight,Clear,12480,0,45,normal,0,0,,,,Smooth,36
91811595-9aea-4ff7-881c-3082ee9fb55f,ADS,Highway,Dry,60,Daylight,Clear,10591,0,60,normal,0,0,,,,Smooth,24
f94f2b4e-93d2-409e-883d-2610c6aeb2e8,ADS,Highway,Dry,70,Daylight,Cloudy,11164,0,65,normal,1,0,,,,Aggressive,56
f00b3e7b-b6af-4e5c-ac5c-8d8a1372d309,ADS,Urban,Dry,30,Dawn / Dusk,Clear,15355,0,4,hard_braking,0,0,,,,Smooth,24
bcabedaa-0c91-4899-9f65-c2abe786f631,ADS,Urban,Dry,25,Daylight,Fog/Smoke,13142,1,16,normal,0,0,,,,Sharp,20
6089b747-4bd1-4953-936d-afc1e907b2c0,ADS,Parking lot,Wet,5,Daylight,Cloudy,17011,1,2,normal,0,0,,,,Smooth,4
2179c534-4b05-4ae8-a116-be91bf6e9d2e,ADS,Urban,Dry,30,Dark - Not Lighted,Clear,10807,1,2,normal,0,0,,,,Smooth,21
daaa65d4-1e51-4823-8844-66d1316e3b19,ADS,Rural,Dry,60,Daylight,Clear,16526,1,56,normal,0,0,,,,Smooth,60
664449d3-fe7e-4494-976c-1658ceb480dd,ADS,Highway,Dry,55,Daylight,Cloudy,6414,1,55,normal,0,0,,,,Smooth,22
5563b790-02b9-4851-aa07-f1814c7bad7b,ADS,Urban,Wet,25,Dawn / Dusk,Fog/Smoke,9982,0,23,normal,0,0,,,,Smooth,17
728d682f-ba1c-4e9c-aa9c-673aa32a0022,ADS,Urban,Wet,25,Daylight,Snow,31008,2,22,normal,0,0,,,,Smooth,17
2f692b51-871f-46af-b621-f98c30fa812f,ADS,Urban,Dry,40,Daylight,Clear,7822,2,28,normal,0,0,,,,Smooth,24
ed900689-2ede-4191-a2c9-b7a959b1d711,ADS,Urban,Dry,25,Dawn / Dusk,Clear,15311,0,6,normal,0,0,,,,Smooth,17
3704e111-a59f-4a50-beb9-ff5ab997be4d,ADS,Urban,Dry,40,Daylight,Clear,15048,1,16,normal,0,0,,,,Smooth,24
16a9c350-2a70-4c2f-a9a9-f1cf707356c4,ADS,Highway,Dry,60,Daylight,Clear,25492,2,57,normal,0,0,,,,Smooth,42
29027d50-8400-46fa-9bcc-7b129ec6ce26,ADS,Highway,Dry,70,Daylight,Cloudy,12476,0,69,normal,0,0,,,,Smooth,35
bbf05ed6-1211-478e-a8f9-f334072fb6d8,ADS,Highway,Dry,70,Dark - Lighted,Windy,12487,0,70,normal,0,0,,,,Smooth,63
88506fca-3574-420f-908c-451663c84b5f,ADS,Highway,Dry,65,Daylight,Clear,12740,1,65,normal,0,0,,,,Smooth,39
77bace34-b606-4779-a039-844a279810cb,ADS,Parking lot,Dry,15,Daylight,Cloudy,13693,1,6,normal,0,0,,,,Aggressive,10
71c2160d-d314-4643-9ebe-0935c9183fad,ADS,Rural,Dry,50,Daylight,Clear,24348,2,45,normal,0,0,,,,Smooth,25
e580a1f4-df3b-4b5e-b053-25370cc2ef44,ADS,Urban,Dry,40,Daylight,Clear,14792,0,9,normal,0,0,,,,Smooth,24
fa332b5f-e4cc-47f1-b7eb-1714b0a24c04,ADS,Highway,Dry,60,Daylight,Clear,13613,1,60,normal,0,0,,,,Smooth,48
da4bab7e-bae7-4d78-9abe-b44eb379a9f7,ADS,Highway,Dry,65,Daylight,Clear,25354,2,56,normal,0,0,,,,Aggressive,52
b5b63c84-7125-42ba-81a9-30ce2a45defe,ADS,Parking lot,Dry,5,Daylight,Clear,10935,1,2,normal,0,0,,,,Smooth,3
5ac0b96f-4da4-4a68-9965-360c1bacdb93,ADS,Urban,Dry,40,Dawn / Dusk,Clear,6507,0,15,normal,1,0,,,,Smooth,28
43af527a-0348-46f6-8b4a-b5bda05aa448,ADS,Rural,Dry,55,Dark - Not Lighted,Clear,8561,0,55,normal,0,0,,,,Smooth,38
a59e7e38-e488-45b8-8133-61a00c3c971d,ADS,Highway,Dry,60,Daylight,Clear,11845,0,51,normal,0,0,,,,Smooth,18
719f0358-243d-49cf-b3fe-eb57b0551ed0,ADS,Highway,Dry,65,Dawn / Dusk,Cloudy,13635,0,65,normal,0,0,,,,Smooth,39
