ID,Autonomy_level,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Weather,Mileage,Usage_year,Speed,Acceleration,Disengagement,Crush,Collision Type,Incident Severity,Insurance Cost,Cornering,Distance_to_next_car
30c25b58-d8a0-4e01-a240-9802a0638a55,ADS,Urban,Dry,40,Daylight,Clear,18497,1,33,normal,0,0,,,,Smooth,32
356a3ab3-8820-4a90-98ba-55363b24914f,ADS,Urban,Dry,25,Daylight,Cloudy,19774,2,19,normal,1,0,,,,Smooth,17
8deca3cd-1a26-44f3-9178-f3fc7393597a,ADS,Parking lot,Dry,10,Daylight,Clear,2793,0,5,normal,0,0,,,,Smooth,13
37f435e9-aec5-47c0-aad8-4b41edfb6bc8,ADS,Urban,Wet,30,Daylight,Rain,8955,1,13,normal,0,0,,,,Smooth,30
ed1a97ad-3f1e-4607-b128-28d23a5aa20c,ADS,Urban,Dry,40,Dark - Lighted,Clear,11002,1,28,normal,0,0,,,,Smooth,48
ab40438b-5fab-4bf1-92ae-23a574f347b6,ADS,Highway,Dry,65,Daylight,Clear,10710,0,55,normal,0,0,,,,Smooth,58
eb85980b-68e1-4fb0-9807-202626498251,ADS,Urban,Dry,35,Dawn / Dusk,Clear,16535,0,15,normal,1,0,,,,Aggressive,24
7fb67fe7-d7a5-4bef-bc68-a8777965e4a5,ADS,Highway,Dry,60,Daylight,Clear,8488,1,57,normal,0,0,,,,Smooth,60
38ecb4c1-26df-4eb3-9fbe-0b4989d48430,ADS,Parking lot,Dry,10,Daylight,Clear,22791,3,5,normal,0,0,,,,Smooth,12
f1372fb8-1517-4b83-91ae-40db5ef2bc30,ADS,Highway,Dry,70,Daylight,Clear,14009,0,70,normal,0,0,,,,Smooth,77
668d3e53-8cec-4067-8682-8b8b8c3cc893,ADS,Highway,Dry,60,Daylight,Clear,11508,1,54,normal,1,0,,,,Smooth,48
c92b397f-1d2f-4535-8a7e-9723b9c1b589,ADS,Highway,Dry,70,Dawn / Dusk,Cloudy,14121,0,66,normal,0,0,,,,Smooth,56
825712c8-901e-4c21-9064-322f29094af7,ADS,Urban,Dry,30,Daylight,Cloudy,10412,0,22,normal,0,0,,,,Smooth,24
b37d6593-c60f-4a60-89d6-87e608d50899,ADS,Highway,Dry,60,Daylight,Clear,9315,0,53,normal,0,0,,,,Smooth,54
199feaee-e50c-4895-9248-6119bbdf790b,ADS,Highway,Wet,55,Dawn / Dusk,Rain,12937,0,47,normal,0,0,,,,Smooth,71
b62c59ad-e30f-44e3-b707-12770f7b943a,ADS,Highway,Dry,65,Daylight,Fog/Smoke,11232,1,65,normal,0,0,,,,Smooth,52
05988518-93d3-4041-8f8b-1d0462b284fd,ADS,Urban,Wet,25,Daylight,Windy,9011,0,15,normal,0,0,,,,Smooth,32
b0498849-edc8-4d85-8069-d45cb93a5377,ADS,Urban,Dry,25,Dark - Lighted,Clear,36609,3,6,normal,0,0,,,,Aggressive,20
7563155f-6f3d-4e2b-8045-5fa327b3cb05,ADS,Highway,Dry,65,Daylight,Clear,20401,1,64,normal,0,0,,,,Smooth,65
88c3f027-25c8-42c8-a966-fb37f26aad32,ADS,Urban,Wet,30,Dark - Lighted,Rain,14468,0,14,normal,0,0,,,,Smooth,30
fe32ee68-799b-4447-ac4e-a6f0888f2aa0,ADS,Urban,Dry,45,Dark - Lighted,Clear,10591,1,30,normal,0,0,,,,Smooth,31
1343eac1-4009-4bc6-8c4e-ea3b05080016,ADS,Urban,Dry,45,Daylight,Cloudy,21204,2,7,normal,0,0,,,,Smooth,40
3f28144c-b1ae-4391-94ef-c951b29f0426,ADS,Highway,Dry,70,Dark - Lighted,Clear,15355,0,70,normal,0,0,,,,Smooth,77
346eddc1-8abf-4865-baa3-9176351c283a,ADS,Rural,Dry,50,Dawn / Dusk,Cloudy,15540,1,48,normal,0,0,,,,Smooth,40
0d809453-1fd5-40f8-becf-d1dc12d5b52a,ADS,Highway,Dry,70,Daylight,Clear,28102,2,70,normal,0,0,,,,Smooth,63
66b21e9d-e9c5-47e1-be14-2de3a6551b5f,ADS,Rural,Dry,45,Daylight,Fog/Smoke,11697,0,44,normal,0,0,,,,Smooth,54
de290048-94e1-48e3-bc1e-a38f2bfeb1a3,ADS,Parking lot,Wet,10,Dark - Not Lighted,Snow,20742,0,6,normal,0,0,,,,Smooth,7
3437b553-3277-42e8-aefc-360e09f43080,ADS,Urban,Dry,30,Daylight,Clear,6223,0,29,normal,0,0,,,,Smooth,24
fd3d6f4c-8448-4efa-ba95-cf98b712b093,ADS,Urban,Dry,45,Daylight,Cloudy,12640,0,27,normal,0,0,,,,Smooth,49
efa4c948-c257-49be-b772-8dd6b5bf5e00,ADS,Urban,Wet,35,Dawn / Dusk,Cloudy,13262,0,34,normal,0,0,,,,Smooth,17
4d04f014-1985-4b6e-b45c-5e509c8124d0,ADS,Rural,Dry,50,Daylight,Clear,15311,1,45,normal,1,0,,,,Smooth,50
401a49d0-4eaf-4869-9629-11cc03a554ce,ADS,Highway,Dry,55,Daylight,Cloudy,11110,1,55,normal,0,0,,,,Smooth,49
03330b65-ae1b-4269-a437-4498e13b3c4a,ADS,Highway,Dry,55,Dark - Lighted,Clear,40920,3,54,normal,0,0,,,,Smooth,55
5feea037-b3a0-4c9f-a880-6547be23b1bf,ADS,Parking lot,Dry,5,Dark - Lighted,Clear,9317,0,2,normal,0,0,,,,Sharp,5
455bf5e4-4364-492f-b5a8-f4316aeb641a,ADS,Rural,Dry,55,Dawn / Dusk,Clear,16517,0,52,normal,0,0,,,,Smooth,66
0ad05b10-3b9c-4fd7-8a21-30defb8f52d8,ADS,Parking lot,Dry,15,Daylight,Clear,10498,0,7,normal,0,0,,,,Smooth,12
9ce81a0b-2909-4f97-99e3-f4a647b866ca,ADS,Highway,Dry,60,Daylight,Clear,12309,0,60,normal,0,0,,,,Smooth,54
aab9c784-aa97-4394-84a4-c2aefe682c70,ADS,Urban,Dry,30,Daylight,Clear,12174,1,18,normal,0,0,,,,Smooth,24
5932f706-3f83-4e96-a72b-cb1b6849cd43,ADS,Highway,Dry,60,Daylight,Clear,20422,2,60,normal,0,0,,,,Smooth,72
fce655eb-b7ed-461f-9cb2-1d58b02681a6,ADS,Urban,Dry,45,Daylight,Cloudy,13613,0,22,normal,0,0,,,,Smooth,49
eef35cf3-3844-443b-b080-39e31faf971e,ADS,Highway,Wet,65,Dark - Lighted,Rain,12677,1,56,normal,0,0,,,,Smooth,71
05524b22-7f42-441e-801b-461b70574144,ADS,Highway,Dry,55,Dawn / Dusk,Cloudy,10935,1,48,normal,0,0,,,,Aggressive,55
c79d4d0d-c200-49e8-b84a-a7f72d350d15,ADS,Rural,Wet,55,Daylight,Snow,13260,0,44,normal,0,0,,,,Smooth,60
267ad33a-0ec4-457b-bf24-6f0335a6c8b3,ADS,Urban,Wet,45,Daylight,Rain,8561,0,41,normal,0,0,,,,Aggressive,45
f5f6aef8-6209-4988-a55c-20024a36322f,ADS,Urban,Dry,35,Daylight,Clear,6750,1,21,normal,0,0,,,,Smooth,31
7487b5af-5200-4374-a2ed-6ed530b000ca,ADS,Highway,Dry,65,Dark - Lighted,Clear,16485,1,55,normal,0,0,,,,Smooth,65
9a328c61-41a9-4a1f-97ec-5e375918352b,ADS,Highway,Dry,70,Dark - Not Lighted,Clear,17798,2,67,normal,0,0,,,,Smooth,84
e8a77912-fda7-4233-b6b8-d96e53e3b4b6,ADS,Urban,Dry,25,Dawn / Dusk,Clear,19868,1,20,hard_braking,0,0,,,,Smooth,15
b079e800-0bd9-47f3-aa42-d19e85b435bc,ADS,Urban,Dry,30,Daylight,Clear,16944,0,15,normal,0,0,,,,Smooth,39
64b5dff2-4284-425e-b8e0-c46eb3c8459a,ADS,Highway,Dry,65,Daylight,Clear,7202,0,65,normal,0,0,,,,Smooth,71
25200f3f-2cf7-4099-a01b-088a42929969,ADS,Parking lot,Dry,10,Dark - Lighted,Clear,28752,3,4,normal,0,0,,,,Smooth,7
555ade73-6bfb-48e9-a526-a5cca24a02ff,ADS,Urban,Dry,30,Daylight,Clear,14202,1,0,normal,0,0,,,,Smooth,33
66aeb895-9ea3-4cba-b960-9d5b936b1048,ADS,Highway,Dry,65,Dawn / Dusk,Cloudy,14082,1,59,normal,0,0,,,,Smooth,45
5050f252-3a5f-4c78-8a67-bdd22279490c,ADS,Highway,Dry,70,Dawn / Dusk,Clear,12186,1,70,normal,0,0,,,,Smooth,63
6c2fecc1-b90f-4a96-9cfc-7be52d2c5b23,ADS,Highway,Dry,60,Daylight,Clear,15475,0,57,normal,0,0,,,,Smooth,66
4e2276fd-3f1e-4e51-b440-d657e9cf581f,ADS,Parking lot,Dry,10,Daylight,Cloudy,12550,0,5,normal,0,0,,,,Smooth,10
b6e1a61f-d040-4a8f-975a-ff24589affc6,ADS,Rural,Dry,55,Daylight,Clear,12929,0,55,normal,0,0,,,,Smooth,60
e7cb4c8a-9862-4e62-814a-ee96befc473c,ADS,Highway,Dry,55,Daylight,Clear,4520,2,51,normal,0,0,,,,Smooth,66
8473921a-0a90-4458-9568-0b38d1475a26,ADS,Rural,Dry,45,Dark - Lighted,Cloudy,13765,0,45,normal,0,0,,,,Smooth,40
9cbdded2-b938-4126-be91-e6199ce299ae,ADS,Urban,Dry,35,Dark - Lighted,Cloudy,11454,0,33,normal,0,0,,,,Smooth,31
3eec0b44-fed6-4f12-8e66-181c2a8e274d,ADS,Urban,Dry,30,Dawn / Dusk,Cloudy,12069,0,22,normal,0,0,,,,Smooth,21
df4903c6-e682-4fae-b4b4-6a250d7f5c42,ADS,Urban,Dry,45,Daylight,Clear,19862,2,26,normal,0,0,,,,Smooth,36
8a7603cb-9fe4-4e20-bfc0-ca7872ae18ef,ADS,Urban,Dry,25,Daylight,Clear,12995,0,17,normal,0,0,,,,Smooth,22
03d28841-e6fa-4683-8f66-433b70443a5f,ADS,Urban,Wet,30,Daylight,Snow,13980,0,21,normal,0,0,,,,Smooth,27
e6120114-de01-4450-942a-38d14e7f8066,ADS,Highway,Wet,70,Daylight,Rain,12854,0,70,normal,1,0,,,,Smooth,98
58f53ad0-c93d-4baf-9fc3-0cce539c6f20,ADS,Urban,Wet,25,Daylight,Rain,4414,0,9,normal,0,0,,,,Smooth,20
27fff0a0-35b8-4fd1-91e3-6da10f7c5396,ADS,Urban,Dry,25,Dawn / Dusk,Cloudy,31210,2,2,normal,0,0,,,,Aggressive,37
39be0cf7-9356-4793-8105-5461e9e0eb7d,ADS,Highway,Wet,55,Daylight,Snow,12174,0,52,normal,0,0,,,,Smooth,49
f7a62975-5339-409b-95fa-314ded3cacfc,ADS,Urban,Dry,25,Dark - Lighted,Clear,17325,1,10,normal,0,0,,,,Smooth,22
ae784759-98c9-40a8-b6de-c7af4b13363f,ADS,Parking lot,Wet,5,Dark - Lighted,Rain,10720,0,2,normal,0,0,,,,Smooth,3
0fb3c923-290b-45d8-9433-fe2022039e54,ADS,Parking lot,Dry,5,Daylight,Clear,14012,0,2,normal,0,0,,,,Smooth,6
685d5fc4-aa3c-4eb9-8ef7-1ec675eafee5,ADS,Urban,Dry,25,Daylight,Clear,11558,0,20,normal,0,0,,,,Smooth,20
cf70240c-90da-496c-96f8-fb5be4f41c00,ADS,Urban,Dry,30,Daylight,Clear,14251,1,12,normal,0,0,,,,Smooth,30
1fa16a31-0942-41ea-b44a-effb967b9021,ADS,Urban,Dry,40,Dark - Lighted,Cloudy,26244,2,39,normal,0,0,,,,Smooth,36
7d9e0dc6-5b28-4df6-9cef-8bad7da785a7,ADS,Highway,Dry,55,Daylight,Clear,26954,2,55,normal,0,0,,,,Smooth,71
9d4afa5d-2f78-4846-8890-be37ef98c864,ADS,Urban,Dry,35,Daylight,Clear,16444,0,25,normal,0,0,,,,Smooth,38
38128690-469e-4177-8a5d-c1e141776d25,ADS,Parking lot,Wet,15,Dark - Not Lighted,Rain,28818,2,4,normal,0,0,,,,Smooth,15
77f2aec7-e433-470c-8f90-4746981a0ba7,ADS,Parking lot,Dry,15,Dawn / Dusk,Cloudy,32354,2,8,normal,0,0,,,,Aggressive,13
f1cb3e61-39c0-4882-ba55-b1fa2bc8bf3f,ADS,Highway,Dry,55,Daylight,Cloudy,19500,2,55,normal,0,0,,,,Smooth,71
7983e2e0-7725-42e8-8913-052eff9c7328,ADS,Urban,Dry,30,Daylight,Clear,6672,1,16,normal,0,0,,,,Smooth,18
58839f3c-7fe6-4853-b056-ae43a0ee856f,ADS,Urban,Wet,25,Daylight,Rain,5397,0,21,normal,0,0,,,,Smooth,20
f6fc63e7-8100-4861-ac2b-7a876292a497,ADS,Urban,Dry,35,Dark - Lighted,Cloudy,15046,2,23,risky,0,0,,,,Smooth,45
424d0ba6-a8c5-4600-af52-18faa509cda0,ADS,Highway,Dry,65,Daylight,Clear,6629,1,61,normal,1,0,,,,Smooth,78
22c93b4b-0ed8-4e3e-b499-300093d33f8f,ADS,Urban,Dry,40,Daylight,Clear,19306,2,11,normal,0,0,,,,Smooth,28
1585e27b-a90f-4a1f-b982-098b10ea5499,ADS,Highway,Wet,65,Daylight,Rain,14493,0,65,normal,0,0,,,,Smooth,58
2f0aa870-88a5-4527-b5d3-dae47e3a0e33,ADS,Highway,Dry,65,Dark - Not Lighted,Clear,37548,3,65,normal,0,0,,,,Smooth,84
db528dfc-4ea2-4d38-8251-8ad21da61617,ADS,Parking lot,Wet,15,Dawn / Dusk,Rain,36470,2,8,normal,0,0,,,,Smooth,15
0f2f6773-c130-4e19-ac41-cd0f0d8e95e5,ADS,Highway,Dry,60,Daylight,Clear,21797,0,51,normal,1,0,,,,Smooth,48
539e86bb-0f22-4565-884f-56ee61517836,ADS,Rural,Wet,55,Daylight,Thunderstorm,9198,1,51,normal,0,0,,,,Smooth,49
37f18b64-9413-4819-9099-bfd619f4ad62,ADS,Highway,Dry,65,Daylight,Fog/Smoke,12807,0,65,normal,0,0,,,,Smooth,71
d34d2fbc-8cc9-4686-986f-6b778cc9589f,ADS,Urban,Dry,45,Daylight,Cloudy,19168,0,21,normal,0,0,,,,Smooth,40
d1b841a8-e022-4b05-8198-cd25c561b793,ADS,Urban,Dry,45,Daylight,Clear,7067,1,42,normal,0,0,,,,Smooth,31
49342f72-3153-43dc-b08b-251bc2a2c237,ADS,Highway,Dry,70,Dawn / Dusk,Cloudy,5303,0,63,normal,0,0,,,,Sharp,77
ad3e4406-daf1-4bfd-9bcb-e1c22b21d057,ADS,Urban,Wet,25,Daylight,Snow,10007,1,21,normal,0,0,,,,Smooth,22
fad90bb9-a4e5-46f4-8b38-ebb63df143c7,ADS,Highway,Dry,70,Daylight,Clear,6413,0,67,normal,1,0,,,,Smooth,56
a643e4dd-a254-434e-86f3-34d2c54fecf4,ADS,Parking lot,Dry,15,Daylight,Clear,14474,1,8,normal,0,0,,,,Smooth,13
1270353d-31bc-42ca-acd6-0d193b0c3920,ADS,Urban,Dry,25,Daylight,Clear,19242,1,3,normal,0,0,,,,Smooth,17
d6fd6436-784b-4124-a0c5-7829b55ee6dd,ADS,Highway,Dry,60,Daylight,Clear,11076,0,56,normal,0,0,,,,Smooth,24
a9b0acb9-5c9c-47ce-8597-8b530e7214db,ADS,Highway,Dry,55,Daylight,Cloudy,26930,2,55,normal,0,0,,,,Smooth,38
af809aff-e246-45f3-922f-8fd3ba3b53af,ADS,Urban,Dry,30,Daylight,Clear,20204,1,4,normal,0,0,,,,Smooth,33
cf6793ac-5f9a-491d-a398-75fc2e8689e6,ADS,Rural,Dry,50,Daylight,Clear,9572,1,49,normal,0,0,,,,Aggressive,50
b43c364a-44e7-41a8-804c-3c819e007703,ADS,Urban,Dry,35,Daylight,Clear,5897,0,21,normal,0,0,,,,Smooth,38
d072369d-6165-48cc-8464-5627404f4ce7,ADS,Highway,Dry,55,Daylight,Clear,12536,0,51,normal,0,0,,,,Smooth,66
27e6e6e5-6dda-4f95-8dd6-e9a1e02993e6,ADS,Urban,Dry,30,Daylight,Clear,13138,0,20,normal,0,0,,,,Smooth,30
d22cc61a-bf05-462c-9390-594fceaa9794,ADS,Rural,Dry,50,Dawn / Dusk,Cloudy,9066,1,48,normal,0,0,,,,Smooth,55
fea4f07d-7a8a-4e8d-bf15-da146400971c,ADS,Highway,Dry,55,Daylight,Clear,15035,0,55,normal,0,0,,,,Smooth,60
3f05f091-948d-4813-9ed2-df1c178a04c9,ADS,Highway,Dry,60,Daylight,Clear,8528,1,53,normal,0,0,,,,Smooth,42
7807c5cf-3969-4de6-aa2c-62d85f4c84eb,ADS,Urban,Wet,40,Daylight,Snow,33858,2,12,normal,0,0,,,,Smooth,36
8c61d8f6-66b8-4f27-ba8f-0d5e8bbedbdb,ADS,Rural,Dry,45,Dark - Lighted,Clear,8872,0,45,normal,0,0,,,,Smooth,40
bc247691-e7bb-4781-8cff-73122bcf5d88,ADS,Highway,Wet,55,Dark - Not Lighted,Snow,15685,0,53,normal,0,0,,,,Smooth,55
fefc77e1-8843-43c8-b001-8b53244097a5,ADS,Highway,Dry,60,Dark - Lighted,Clear,12066,0,60,normal,1,0,,,,Smooth,60
a0ab77a6-e96c-4e39-b6c7-481a3348d410,ADS,Urban,Dry,25,Daylight,Clear,22602,3,2,normal,0,0,,,,Smooth,25
e4e4e57d-03e2-4d70-81ee-bdf986d44594,ADS,Urban,Dry,30,Daylight,Clear,11253,1,24,normal,0,0,,,,Smooth,27
083b55b0-bb28-4914-a7de-9b4eb33659a1,ADS,Highway,Dry,70,Dawn / Dusk,Clear,9277,0,70,normal,0,0,,,,Smooth,63
2e6b9b34-98c6-4535-88eb-5fc5ace1faf5,ADS,Highway,Dry,65,Daylight,Cloudy,13669,0,61,normal,0,0,,,,Smooth,71
9ac72389-f483-420b-ac6e-fb04b0f555c4,ADS,Parking lot,Dry,5,Dark - Lighted,Clear,14343,0,2,normal,0,0,,,,Aggressive,7
bb823a3e-3e40-4e1f-8db8-570619adf406,ADS,Highway,Dry,70,Daylight,Clear,8679,1,59,normal,0,0,,,,Smooth,56
14abdc1e-1e0f-41d8-8533-d0c6f7f7dd83,ADS,Highway,Dry,70,Dark - Lighted,Clear,18491,0,66,normal,0,0,,,,Smooth,70
04d5b361-5f6e-4c0e-a24d-cc0ddea4c849,ADS,Highway,Dry,70,Daylight,Clear,28974,2,63,normal,1,0,,,,Smooth,56
765aaf09-d6d7-41d4-bf56-723167688f5d,ADS,Highway,Dry,70,Daylight,Clear,26442,2,70,hard_braking,0,0,,,,Smooth,84
c9c7b342-b311-4c92-a126-a4c1cc00c6c3,ADS,Urban,Dry,45,Dark - Not Lighted,Clear,9354,1,34,normal,0,0,,,,Smooth,72
174fd601-1b26-4d9f-b56f-829b31e13edb,ADS,Highway,Dry,65,Dawn / Dusk,Clear,14618,1,65,normal,0,0,,,,Smooth,58
09a1f409-91f7-4882-80dd-bbcd62815175,ADS,Highway,Dry,60,Dark - Not Lighted,Clear,25584,3,54,normal,0,0,,,,Smooth,54
79b8db72-dd43-4006-b5f2-d034daa83e20,ADS,Parking lot,Dry,15,Daylight,Clear,13130,1,6,normal,0,0,,,,Smooth,12
d03f338a-4adb-4cc7-9a61-7b303975710d,ADS,Urban,Dry,30,Daylight,Clear,14484,1,24,normal,0,0,,,,Smooth,33
9202f04b-92df-4ccf-aa1f-81fb36502e4c,ADS,Urban,Dry,30,Daylight,Clear,9176,0,10,normal,0,0,,,,Smooth,36
c44c1206-824a-4b4f-b787-87a7bf314f17,ADS,Urban,Dry,35,Daylight,Clear,11048,1,30,normal,0,0,,,,Smooth,42
fa5f686c-47b3-4f49-9901-8331fd198600,ADS,Urban,Dry,35,Daylight,Clear,13752,0,23,normal,0,0,,,,Aggressive,42
6f60a523-fa96-4bc3-ac10-b9f84cd7268e,ADS,Urban,Dry,30,Dawn / Dusk,Clear,8011,0,24,normal,0,0,,,,Smooth,27
22a31f09-7256-4ba1-8fec-5bb96b41634b,ADS,Rural,Dry,55,Dawn / Dusk,Cloudy,9527,0,55,normal,0,0,,,,Aggressive,27
70a4fa44-6e09-425c-85f0-ddb8adb3569a,ADS,Highway,Dry,55,Dark - Lighted,Cloudy,1974,0,46,normal,0,0,,,,Smooth,27
90a9a72b-0b6b-4223-8168-b50a99ad2554,ADS,Rural,Dry,50,Dark - Lighted,Clear,17114,0,45,normal,0,0,,,,Smooth,45
3b0d1510-498f-4404-8c45-e871a7dca0aa,ADS,Urban,Dry,40,Daylight,Cloudy,26588,2,19,normal,0,0,,,,Smooth,36
78372a4b-f00e-4c61-9dc2-6a46c5b0ef46,ADS,Urban,Dry,25,Dark - Lighted,Clear,12034,0,6,normal,0,0,,,,Smooth,22
315ea2b7-17a3-4845-b341-93f5655360bb,ADS,Parking lot,Dry,15,Daylight,Cloudy,13844,0,7,normal,0,0,,,,Smooth,10
05f0550d-7314-4c68-86b6-eb7ac07aecc5,ADS,Highway,Dry,65,Daylight,Clear,47040,3,65,normal,0,0,,,,Smooth,58
60ab2807-fe77-491f-880a-03701da62de0,ADS,Rural,Wet,45,Daylight,Snow,9194,0,45,normal,0,0,,,,Smooth,36
4e19ca52-396f-4d7e-b50d-0ef477db92db,ADS,Parking lot,Dry,15,Dark - Lighted,Cloudy,22478,2,7,normal,0,0,,,,Sharp,13
a9ce96bd-070a-456d-b125-d651ef95d929,ADS,Highway,Dry,60,Daylight,Clear,9770,1,54,normal,0,0,,,,Smooth,66
f04326a8-dcd2-4bd5-9ff4-b3a733c24e76,ADS,Highway,Dry,60,Dark - Not Lighted,Cloudy,13409,0,51,normal,1,0,,,,Smooth,54
a3933bb8-38bc-4245-af6a-4d6574391ee2,ADS,Urban,Dry,40,Daylight,Clear,29822,2,22,normal,0,0,,,,Smooth,44
6e19f9eb-4f01-421a-be5d-d79b6a02a05b,ADS,Urban,Dry,30,Dark - Lighted,Clear,869,0,9,normal,0,0,,,,Smooth,33
74813748-8dd2-409d-855a-7808638411d2,ADS,Highway,Dry,55,Daylight,Cloudy,12087,0,55,normal,0,0,,,,Smooth,49
46d5f36b-74e7-466b-aecb-741ffd93bf0c,ADS,Urban,Dry,45,Daylight,Clear,15413,1,7,normal,0,0,,,,Smooth,40
6bc2b23a-7af4-47d3-a4ba-490d2a322d01,ADS,Highway,Wet,60,Dark - Lighted,Fog/Smoke,14257,0,60,normal,0,0,,,,Smooth,84
3149d450-f4c8-44d3-9679-46e5a231a1f5,ADS,Urban,Dry,40,Daylight,Clear,17714,2,14,normal,0,0,,,,Smooth,24
566309fe-afb9-48ec-870c-019d993d19b9,ADS,Urban,Dry,25,Daylight,Clear,14859,0,24,normal,0,0,,,,Aggressive,27
64e69e71-092a-4baf-8952-02a2008429c0,ADS,Urban,Wet,40,Daylight,Snow,36423,3,38,normal,0,0,,,,Smooth,24
3df9c464-bb74-43f6-b754-e618850bf06c,ADS,Highway,Dry,55,Dark - Lighted,Clear,14471,0,51,normal,0,0,,,,Smooth,49
ab9b6472-6cfe-4db0-986d-575305af069e,ADS,Highway,Dry,55,Daylight,Cloudy,22596,2,52,normal,0,0,,,,Smooth,44
05a84bfc-4674-417e-b879-b567b06b6f38,ADS,Urban,Dry,40,Dark - Not Lighted,Clear,9867,0,24,normal,0,0,,,,Smooth,28
66803c69-87cf-4da5-9b12-f35be02e9718,ADS,Parking lot,Dry,15,Daylight,Clear,10098,0,10,normal,0,0,,,,Smooth,15
40baeee2-deb6-402a-b149-a12f27f81549,ADS,Highway,Dry,70,Dawn / Dusk,Clear,30356,2,60,normal,0,0,,,,Smooth,42
52a516f2-d2e6-4d51-9f7c-156fff5b191e,ADS,Urban,Dry,45,Daylight,Clear,31364,2,20,normal,0,0,,,,Smooth,40
de579eef-6daf-4e03-be81-2be633cd1e73,ADS,Highway,Dry,60,Dawn / Dusk,Clear,6773,1,60,normal,1,0,,,,Smooth,60
e79d042d-6cea-44dc-b4c9-6a6a19887a74,ADS,Highway,Dry,70,Daylight,Clear,50793,3,70,normal,0,0,,,,Aggressive,63
c44cb48e-5ba6-4248-bcb4-de72f7526444,ADS,Highway,Dry,55,Dark - Not Lighted,Cloudy,3430,1,53,normal,0,0,,,,Smooth,44
